NO,JUDUL,NOMOR KATALOG,NOMOR KLASIFIKASI,ISBN/ISSN,NOMOR PANGGIL SETEMPAT,BAHASA,PENGARANG,PENERJEMAH,EDITOR,SERI,EDISI,NEGARA,PROVINSI,KOTA,PENERBIT,TAHUN,SUBJEK,NAMA PERTEMUAN,TEMPAT PERTEMUAN,TANGGAL PERTEMUAN,HARGA,JENIS
11,101 Puisi Mandarin ,6448337124,895.1,979-95602-6-8,895.1 Had P,Indonesia,Dr. Abdul Hadi W.M.,Wilson Tjandinegara,Ayid Suyitno PS.,,,Indonesia,DKI Jakarta,Jakarta,Komunitas Sastra Indonesia,2000,Chinese Literatures,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Kumpulan Sastra
12,101 Resep Sukses Ala ONE DIRECTION,1549326122,370.15,978-602-375-337-6,370.15 Ann O,Indonesia,Annabelle,,Anjelita Noverina,,,Indonesia,DKI Jakarta,Jakarta,Grasindo,2016,Psychology of Education,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Motivasi
13,101 SENI MEMIMPIN Menjadi Pemimpin Yang Disukai Tanpa Perlu Ngegas,5608333124,158.4,978-623-244-783-7,158.4 Min S,Indonesia,Kim Minjeong,,Arif Ishartadi,,,Indonesia,DI Yogyakarta,,Anak Hebat Indonesia,2022,Leadership,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
14,101 Trik Excel Gaya Youtuber,4121324122,5.74,978-623-00-3024-6,005.74 Rya T,Indonesia,Ignasius Ryan,,eEp,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2021,Data Files & Database,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
15,107 CHORD GITAR,3386333122,781.2,978-60253975-0-9,781.2 Dea C,Indonesia,"Joey Alexander Deandre, S. Sn.",,Rudiy,,,Indonesia,DI Yogyakarta,Sleman,Pustaka Cerdas,2019,Element of Music,Elements Of Music,,22 Agustus 2022,0,"Skripsi, Tugas Akhir, Thesis / Disertasi"
16,10 Aplikasi Terbaik Google Untuk Bisnis Anda,6591333124,5.3,978-623-00-2024-7,005.3 Hel A,Indonesia,Jefferly Helianthusonfri,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Programs,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
17,10 Jurus Terlarang ,6156333124,650,978-979-27-0685-7,650/San/J,Indonesia,Ippho Santosa,,,,,Indonesia,DKI Jakarta,Jakarta,Elex Media Komputindo,2015,,Surat Permohonan Buku dan Koleksi ,,26 Oktober 2022,0,Buku Baca
18,10 Juta Pertama dari Google Adsense,5414327124,658.84,978-623-00-3008-6,658.84 Hel J,Indonesia,Jefferly Helianthusonfri,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,Marketing Distribution,surat permohonan buku dan koleksi,,26 Oktober 2022,0,Bisnis
19,10 Juta Pertama dari Google AdSense,921632124,4.678,978-623-00-3008-6,004.678 Hel J,Indonesia,Jefferly Helianthusonfri,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,"Internet, World Wide Web/Internet",Surat Permohonan buku dan koleksi,,26 Oktober 2022,0,Buku Digital
20,10 Juta Pertama dari Youtube: Solusi Jitu Jadi Youtuber dan Berpromosi di Youtube,4123312122,6.754,978-623-00-2260-9,006.754 Hel J,Indonesia,Jefferly Helianthusonfi,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Online Social Network,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
21,10 Tanaman Obat Paling Berkhasiat & Paling Dicari,8899333122,615.32,602-99886-1-1,615.32/Apr/T,Indonesia,Maya Apriyanti,,Ari,1,1,Indonesia,DI Yogyakarta,Bantul,Pustaka Baru Press,2015,Drugs Derived from Plants & Microorganisms,Surat Permohohan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
22,10 Tanaman Obat Paling Berkhasiat & Paling Dicari,8816331124,615.32,602-99886-1-1,615.32 Apr T,Indonesia,Maya Apriyanti,,Ari,Pengolahan Modern,,Indonesia,DI Yogyakarta,Yogyakarta,Pustaka Baru Press,2015,Drugs Derived from Plants & Microorganisms,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
23,10 Teknik Menjadikan Situs Web Anda Profesional,79324122,4.65,979-533-914-1,004.65 Tek,Indonesia,,,,,1,Indonesia,Jawa Tengah,Semarang,Andi,2002,Jaringan Komunikasi Komputer,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Panduan (How To)
24,10 Unicorn Stories,9996327124,650.07,978-623-7254-26-3,650.07 Hak U,Indonesia,Rudi Hakim,,Tika Y.,,,Indonesia,DI Yogyakarta,Yogyakarta,Media Pressindo,2019,Education of Business,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Bisnis
25,11 : 11 albuk #2,3447333122,813,978-979-794-657-9,813 Bes 1,Indonesia,Fiersa Besari,,Juliagar r. n.,,1,Indonesia,DKI Jakarta,Jakarta,mediakita,2022,Indonesian fiction,Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Baca
26,"111 Kunci Penting untuk Penderita Diabetes: Dijelaskan dengan Singkat, Jelas dan Mudah Dipahami",4982331124,613.2,978-623-6822-50-0,613.2 Tan K,Indonesia,Dr.dr. Hans Tandra,,Clara Mitak,,1,Indonesia,DI Yogyakarta,Yogyakarta,RAPHA PUBLISHING,2022,Dietetics,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Pengetahuan Umum
27,12 HIDROPONIK STARTER,5884312124,631.58,978-979-002-757-2,631.58 Wid H,Indonesia,Bayu Widhi Nugroho,,Febriani Ai Nurrohmah & B. Prasetya W.,,,Indonesia,Jawa Barat,Depok,Penebar Swadaya,2021,Spescial Method of Agricultur,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
28,13 The Haunted,6273320124,813,978-602-52365-1-8,813 Gar 1,Indonesia,Demas Garin ,,Eka Lestari,,,Indonesia,Jawa Barat,Depok,RANS Publisher,2018,Indonesian Fiction,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Novel
29,14.000 Quips & Quotes for Writers & Speakers,7613433124,808.8,0-517-427125,808.8 Mck Q,Indonesia,E.C. McKenzie,,,,,Amerika Serikat,New Jersey,Avenel,Baker Book House Company,1980,Collection of LIterary,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
30,"146 yang Terbesar, Tercepat, Tertinggi, Terkuat di Dunia",460934123,791.092,979-788-254-3,791.092 Fau T,Indonesia,Anna Fauziah,,,,,Indonesia,DKI Jakarta,Jakarta,Cerdas Interaktif,2011,Entertainers,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Ensiklopedia
31,15 Rahasia Doa Lulus Ujian ,479324122,155.25,978-623-00-2178-7,155.25 Rif R,China,Ahmad Rifa'i Rif'an,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Character Development ,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
32,165 Simple Movements To get Fit and Healthy,8353333122,613.7,978-602-51810-2-3,613.7 SUL S,Indonesia,Dedy Sulaksono,,Emsoe Abdurrahman,,,Indonesia,Jawa Barat,Bandung,Tasdiqiya Publisher,2018,Physical Fitness,Surat permohonan buku & koleksi,,10-Nov-22,0,Buku Baca
33,17 Agustus 1950 Negara Kesatuan Republik Indonesia Terbentuk,4093329122,959.803,978-623-346-438-3,959.803 Luh A,Indonesia,James Luhulima,,Martinus Danang,,,Indonesia,DKI Jakarta,Jakarta,Kompas Gramedia,2022,Period of Republic,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Sejarah
34,18 Hours Before Jetlag Germany-Munich (Panduan Praktis dan Komplet bagi Keluarga Sebelum Tinggal di Luar Negeri),3611324122,910.4,978-602-05-0488-9,910.4 Sas G,Indonesia,Ashni Sastrosubroto,,Mira R.,,,Indonesia,DKI Jakarta,Jakarta,Grasindo,2018,Accounts Travels,Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Panduan (How To)
35,18 Praktik Kepemimpinan Transformatif,6183327124,650.1,978-602-06-5563-5,650.1 Wij D,Indonesia,Imam Wijoyo,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2020,Personal Success in Business,,,,0,Bisnis
36,191 Mukjizat Muhammad yang Jarang Diketahui,9096333124,297.63,978-623-7327-36-3,297.63 Sal M,Indonesia,Abdul Aziz bin Muhammad as-Salman,Kaserun AS. Rahman ,Agus Khudlori,,,Indonesia,DKI Jakarta,Jakarta Selatan,PT. Rene Turos Indonesia,2020,Muhammad the Prophet ,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
37,2011 International Graduate Prospectus ,645833124,378,,378  GPA,Inggris,,,,,,Australia,Victoria,Melbourne,Office of Admissions,2010,Higher Educations Universities,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Majalah
38,2011 International  Student Handbook Undergraduate and Postgraduate,646143124,378,,378 Int,Inggris,,,,,,Australia,South Australia,Adelaide,The University of South Australia ,2010,Universities,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Majalah
39,2011 INTERNATIONAL UNDERGRADUATE APPLICATION GUIDE,8379433124,380.5,,380.5 Int 1,Inggris,Group of Eight Monash University,,,,,Australia,,,CRICOS provider: Monash University,2010,"Serial Publications of Commerce, Communication, Transportation",Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
40,2012 Bond University Undergraduate Guide ,646043124,378,,378 Und,Inggris,,,,,,Australia,Queensland,Gold Coast ,Office of Admissions,2012,Universities,Surat Permohonan Buku dan Koleksi,Surat Permohonan Buku dan Koleksi ,26 Oktober 2022,0,Majalah
41,2012 Undergraduate Guide for International Students (Macquarie University Magazine),737743124,378.005,-,378.005 Und,Inggris,,,,,,Australia,New South Wales,New South Wales,Macquarie University,2012,Serial Publication of Higher Educating,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Majalah
42,20 Minutes a Day  to a more Powerful Intelligence,7804433124,153.42,0-872-16646-5,153.42 Dal M,Indonesia,"Arbie M. Dale, Ph.D",,,,,Amerika,New York,New York,Playboy Press,1976,Thought,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
43,20 Tahun Chossy Pratama berkarya Hanya Dengan Cinta,6770321124,927.8,978-979-22-2802-1,927.8 Aks H,Indonesia,Andrei Aksana,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2006,Person in Music Biography,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Biografi
44,20 TAHUN REFORMASI INDONESIA DALAM PERSPEKTIF SOSIOLOGI (1998-2018),5416329124,361.24,978-602-73987-3-5,361.24 Tah ,Indonesia,,,,,,Indonesia,Sulawesi Selatan,Makassar,Departemen Sosiologi FISIP Universitas Hasanuddin,2018,,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Sejarah
45,212 Tip Menguasai Adobe Photoshop CS Edisi Revisi,295324122,6.66,979-731-325-5,006.66 Mul T,Indonesia,Edi S. Mulyanta,,,,2,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2004,Pemrograman untuk Komputer Grafis,Permohonan Buku dan Koleksi,,21-Sep-22,0,Panduan (How To)
46,21 Kesalahan Orang Tua Dalam Mendidik Anak yang Tidak Sesuai dengan Quran Hadis,6741333124,649.1,978-623-7537-91-5,649.1 Muh D,Indonesia,Najamuddin Muhammad,,"Faza, J.A.",,,Indonesia,DI Yogyakarta,Bantul,Araska,2022,Child Rearing,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
47,21 WANITA PERKASA YANG DITEMPA OLEH BUDAYA ACEH,8953321124,920.27,978-623-220-116-3,920.27/Yus/2,Indonesia,Qismullah Yusuf,,Chaerul Alif dan Fajar K,,,Indonesia,DKI Jakarta,Tangerang Selatan,PT Pustaka Alvabet,2021,Women Biography,Surat Permohohan Buku dan Koleksi,,26 Oktober 2022,230000,Biografi
48,225 Soal-Jawab Akuntansi Dasar,5046312124,657.402,978-979-081-952-8,657.402 Her S,Indonesia,"Hery, S.E., M.Si.",,,,,Indonesia,DKI Jakarta,Jakarta,Grasindo,2013,Elementary Level of Accounting,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
49,24 JAM SUKSES RAMADHAN ALA JSR ,9056334124,297.362,978-623-6075-21-0,297.362 Akb R,Indonesia,dr. Zaidul Akbar,,"Beina Prafantya, Ikfi Nursyifa A",,,Indonesia,Jawa Barat,Bandung,Sygma Media Inovasi,2021,Sawn Ramadhan,,,26 Oktober 2022,0,Buku Resep
50,2.600 American English Idioms,1792312122,421.55,978-623-04-0860-1,421.55 Pir A,Indonesia,Arjuna Pirmansyah,,,,,Indonesia,DKI Jakarta,Jakarta,Bhuana Ilmu Populer (Kelompok Gramedia),2022,Standard British Spelling and Pronunciation,Permohonan Buku dan Koleksi,,22-Sep-22,0,Buku Belajar
51,264 Resep Masakan Lezat Ikan Laut,7272334124,640.41,978-602-03-0873-9,640.41 Erw R,Indonesia,Lilly T. Erwin,,Intarina Hardiman,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2015,Helpful Hint and Miscellaneous Recipes,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Resep
52,27 Kesalahan Mendidik Anak yang tidak disadari: Membabat Pemahaman yang telah berkarat dalam Masyarakat,8149333124,306.872,978-623-00-1402-4,306.872 Rob K,Indonesia,Faidatur Robiah,,Julia Suzana,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2020,Parent - Child Relationship,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
53,2.7 MODEL OF LEADER CHARACTER,6066326124,158.4,978-602-99589-7-3,158.4 Wac T,Indonesia,Arif Wachjunadi,,,,,Indonesia,Bali,,Museum Kebudayaan Samparaja Bima,2013,Leadership,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Motivasi
54,"2 Jutaan Keliling Thailand, Malaysia, dan Singapura",3527324122,904,978-623-244-468-3,904 Ban J,Indonesia,Ikhsan Bani,,Herman Adamson,,,Indonesia,DI Yogyakarta,Yogyakarta,Penerbit Histeria,2021,Adventure,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Panduan (How To)
55,"300+ Soal & Jawaban Tes Intelegensi (Numerik, Logika, Verbal dan Spasial)",8067312124,153.93,978-979-29-0919-7,153.93 Har S,Indonesia,M. Hariwijaya,,FI. Sigit Suyantoro,,2,Indonesia,DI Yogyakarta,Yogyakarta,Penerbit ANDI,2009,Intelligent Tests,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
56,3050 Kata Bahasa Tionghoa Tingkat Dasar,1912312122,495.1,978-979-29-1731-4,495.1 Mul K,Indonesia,Rahmat Mulioto,,Westriningsih,,1,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2012,Chinese,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Belajar
57,"30 Menit Essay Writing, Writing is Easy",1608312122,371.102,978-979-29-0778-0,371.102 Pra E,Indonesia,Peni R. Pramono,,Oktaviani HS,,,Indonesia,DI Yogyakarta,Yogyakarta,Andi,2009,Teaching,Surat Permohonan Buku dan Koleksi,,24 Oktober 2022,0,Buku Belajar
58,30 Menu Hemat untuk 1 Bulan ala SISCA SOEWITOMO,2714334122,641.5,978-979-22-9463-7,641.5 Soe M,Indonesia,Sisca Soewitomo,,Intarina Hardiman,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2013,Cooking,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Resep
59,30 Tahun Berkarya: 37 Karya - 17 Publikasi Arsitektur & LAnsekap 1987 - 2017),7473333124,720.92,978-602-5542-25-1,720.92 Soe T,Indonesia,Bambang Soemardiono,,Adiar Ersti Mardisiwi,,,Indonesia,Jawa Timur,Surabaya,its press,2018,Architect,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
60,30 Years in Pictures (1960 - 1990),9664416124,779,-,779 Sva Y,Inggris,Ladislav Svatos,,Steve Gelman,,,Amerika,New York,New York,Custom Marketing,,"Photographics Images, Photographs",Surat Permohonan Buku dan Koleksi,,,0,Dokumentasi
61,36 Jam Belajar Komputer Microsoft Office 2021,9026312124,740.285,978-623-00-3342-1,740.285 Per J,Indonesia,Budi Permana,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2022,Computer Applications for Graphic Arts and Decorative Arts,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Belajar
62,37 Jam,6035320124,813,978-602-74863-6-2,813 Meu 3,Indonesia,Stanley Meulen,,Adeliany Senja,,,Indonesia,DKI Jakarta,Jakarta Selatan,Moka Media,2017,Indonesian Fiction,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Novel
63,"3G Networks: Architecture, Protocols and Procedures (Based on 3GPP Spesifications for UMTS WCDMA Networks)",7437412124,621.3821,0-07-052799-7,621.3821 Kas N,Inggris,Sumit Kasera,,,,,India,,New Delhi,"McGraw-Hill, Inc",2004,Communication Networks,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
64,"3 Kayu Cepat Panen (Jabon, Sengon & Kayu Afrika)",2585324122,634.99,978-602-9407-46-4,634.99 Puj K,Indonesia,Eny Pujiastuti,,Rosy Nur Apriyanti,,,Indonesia,Banten,Ambon,Trubus Mclip,2021,Agroforestry,Permohonan Buku & Koleksi,,26-Sep-22,0,Panduan (How To)
65,3 Langkah Jitu Hajar dan Musnahkan Virus!,6762333124,5.84,978-979-27-5463-6,005.84 Ent L,Indonesia,Jubilee Enterprise,,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2009,Malware,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Buku Baca
66,3 Menit Membuat Anak Keranjingan Belajar,5611324124,370.15,978-979-22-5534-8,370.15 Rif Q,Indonesia,Reza Rifanto,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2010,Psychology of Education,Surat Permohonan Buku & Koleksi ,,26 Oktober 2022,0,Panduan (How To)
67,"3M (Mendampingi, Menstimulus, dan Mengantisipasi) - Mendampingi Tumbuh Kembang si Kecil untuk Mengantisipasi Penyimpangan dengan Cara Mengoptimalkan Potensi",8066312124,305.231,978-623-00-1017-0,305.231 Fat M,Indonesia,Maria Fatimah,,Julia Suzana,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2019,Child Development,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Belajar
68,40 Hari Bersama Allah,9409333124,297.74,979-1070-02-4,297.74 Dja H,Indonesia,Taufik Djafri,,Anang Tjahjo Lelono,,,Indonesia,Jawa Timur,Surabaya,Padma Press,1991,Da'wah,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Buku Baca
69,40 RESEP Puding Klasik Nyonya Rumah,2720334122,641.5,978-602-06-63192-9,641.5 Sut R,Indonesia,Julie Sutarjana,,Intarina Hardiman,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2019,Cooking,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Resep
70,"40 Resep Wedang Empon Empon PENANGKAL VIRUS, PENANGKAL IMUN",2669334122,641.2,978-602-06-4159-1,641.2 Emp,Indonesia,,,Intarina Hardiman,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2020,Beverages,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Buku Resep
71,40 Tahun Pengabdian Dadang Hawari (1965-2005),5548338124,926.1,979-496-341-0,926.1 Haw T,Indonesia,"Prof. Dr. dr. H. Dadang Hawari, Psikiater",,,,,Indonesia,Jawa Barat,Depok,Balai Penerbit FKUI ,2005,Authobiography,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Autobiografi
72,45 Tahun Sumpah Pemuda,8615333124,959.8,979-98998-3-4,959.8 Sum 1,Indonesia,,,,,,Indonesia,DKI Jakarta,Jakarta,MUSEUM SUMPAH PEMUDA,2018,Indonesia & East Timor,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Baca
73,50 BUKU BISNIS PILIHAN YANG WAJIB DIBACA,6212333124,650,978-602-06-3444-9,650/But/L,Indonesia,TOM BUTLER ,,,,,Indonesia,DKI Jakarta,Jakarta,PT Gramedia Pustaka Utama,2022,,Surat Permohonan Koleksi & Buku,,26 Oktober 2022,0,Buku Baca
74,50 Cerita Bijak untuk Anak-anak,9703323126,741.5,978-979-29-4399-3,741.5 Sap C,Indonesia,Imelda Saputra,,Sisilia Triana Dewi,,1,Indonesia,DI Yogyakarta,Yogyakarta,Penerbit ANDI,2015,Comic Books,Surat Permohonan Buku & Koleksi,,22-Sep-22,0,Cerita Bergambar
75,50 Ide Bisnis yang Bisa Kamu Lakukan dari Rumah,6774327124,658.11,978-623-400-172-3,658.11 Min I,Indonesia,Kim Minjeong,,Herman Adamson,,,Indonesia,DI Yogyakarta,Yogyakarta,Anak Hebat Indonesia,2022,Initiation of Business Enterprise,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Bisnis
76,50 SOUP POPULER,9624336124,641.5,978-979-082-283-2,641.5 NUR S,Indonesia,Siti Nurlaila,,,,,Indonesia,DKI Jakarta,Jakarta,DEMEDIA,2017,Cooking,Surat Permohonan Buku dan Koleksi,,26 Oktober 2022,0,Buku Resep
77,50th ASEAN Committee on Culture & Information,9801318124,959,978-602-73975-1-4,959 Ase,Indonesia,,,"Noorca M. Massardi, dkk",,,Indonesia,DKI Jakarta,Jakarta,Direktorat Jenderal Kebudayaan Kementrian Pendidikan dan Kebudayaan,2015,Southeast Asia,Surat Permohonan Buku & Koleksi,,28-Nov-22,0,Budaya
78,517 Tage (Indonesien: Geburt einer Demokratie),7532728125,920.71,978-3-8316-0888-1,920.71 Ver 5,Jerman,Bacharuddin Jusuf Habibie,,,,,Jerman,,,Herbert Utz Verlag,,Men Biography,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Politik
79,"5 Negara, Ratusan Beasiswa, Beribu Cerita",3573324122,910.4,978-623-00-1322-5,910.4 Fai N,Indonesia,Arum Faiza,,,,,Indonesia,DKI Jakarta,Jakarta Pusat,Elex Media Komputindo,2020,Acoounts Travels,Surat Permohonan Buku dan Koleksi,,22 Agustus 2022,0,Panduan (How To)
80,"5 Relationships, Success and Happiness",6125340124,155.25,978-979-27-9479-3,155.25 Bud R,Indonesia,"Hengki Irawan Setia Budi, SE",,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2011,Character Development,Surat Permohonan Buku & Koleksi,,26 Oktober 2022,0,Psikologi
81,"5 Relationships, Success and Happiness",6081326124,155.25,978-979-27-9479-3,155.25 Bud R,Indonesia,"Hengki Irawan Setia Budi, SE",,,,,Indonesia,DKI Jakarta,Jakarta,PT Elex Media Komputindo,2010,Relationship success,,,26 Oktober 2022,0,Motivasi
82,6000 Tahun Sang Merah Putih,3923333122,959.8,978-602-260-098-5,959.8 Yam S,Indonesia,Muhammad Yamin,, ,,,Indonesia,DKI Jakarta,Jakarta Timur,Balai Pustaka,2017,History of Indonesia,Surat Permohonan Buku & Koleksi ,,22 Agustus 2022,0,Buku Baca
